cappun,relig,age_category,polviews
favor,catholic,5.0,extremely conservative
favor,protestant,,conservative
oppose,buddhism,1.0,extremely conservative
favor,protestant,3.0,"moderate, middle of the road"
oppose,none/other,3.0,"moderate, middle of the road"
oppose,catholic,,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,2.0,slightly conservative
favor,none/other,3.0,"moderate, middle of the road"
favor,none/other,3.0,liberal
oppose,christianity,3.0,liberal
oppose,catholic,5.0,
favor,none/other,2.0,slightly liberal
favor,,4.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
oppose,protestant,,slightly conservative
oppose,none/other,1.0,slightly liberal
oppose,christianity,,
oppose,protestant,4.0,"moderate, middle of the road"
favor,none/other,1.0,liberal
oppose,protestant,5.0,liberal
favor,protestant,2.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,3.0,slightly liberal
oppose,protestant,5.0,slightly conservative
oppose,none/other,1.0,extremely liberal
favor,protestant,5.0,conservative
favor,protestant,2.0,conservative
oppose,catholic,4.0,conservative
favor,none/other,1.0,"moderate, middle of the road"
oppose,none/other,4.0,slightly liberal
favor,christianity,3.0,conservative
oppose,catholic,5.0,conservative
favor,none/other,4.0,liberal
favor,none/other,5.0,extremely conservative
favor,none/other,5.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
oppose,catholic,3.0,conservative
oppose,none/other,2.0,slightly liberal
oppose,catholic,3.0,slightly liberal
favor,protestant,3.0,slightly conservative
oppose,none/other,3.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
oppose,none/other,4.0,slightly liberal
,catholic,4.0,liberal
favor,christianity,4.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
,none/other,2.0,
oppose,none/other,,slightly liberal
favor,catholic,5.0,conservative
oppose,protestant,4.0,liberal
oppose,none/other,1.0,slightly liberal
favor,protestant,4.0,conservative
favor,none/other,1.0,"moderate, middle of the road"
oppose,protestant,3.0,extremely liberal
oppose,none/other,5.0,liberal
oppose,none/other,2.0,liberal
favor,none/other,,slightly conservative
oppose,none/other,,slightly conservative
oppose,none/other,4.0,liberal
favor,none/other,4.0,liberal
oppose,none/other,1.0,liberal
oppose,none/other,5.0,slightly liberal
oppose,none/other,1.0,"moderate, middle of the road"
oppose,none/other,5.0,slightly liberal
favor,protestant,1.0,slightly liberal
favor,none/other,3.0,"moderate, middle of the road"
favor,none/other,2.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
oppose,protestant,2.0,slightly conservative
favor,christianity,5.0,slightly conservative
favor,protestant,5.0,conservative
favor,none/other,3.0,"moderate, middle of the road"
oppose,protestant,1.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,none/other,1.0,extremely conservative
favor,buddhism,2.0,slightly liberal
oppose,none/other,1.0,extremely liberal
,none/other,3.0,"moderate, middle of the road"
oppose,protestant,3.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
oppose,christianity,2.0,"moderate, middle of the road"
oppose,none/other,2.0,extremely liberal
favor,catholic,1.0,"moderate, middle of the road"
favor,christianity,2.0,liberal
favor,none/other,3.0,liberal
oppose,none/other,4.0,liberal
oppose,none/other,5.0,slightly liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,2.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
favor,none/other,1.0,
favor,protestant,,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,,slightly conservative
favor,catholic,3.0,"moderate, middle of the road"
oppose,catholic,4.0,slightly liberal
favor,protestant,,"moderate, middle of the road"
favor,none/other,4.0,slightly conservative
favor,christianity,3.0,conservative
favor,none/other,4.0,slightly conservative
favor,catholic,2.0,"moderate, middle of the road"
favor,none/other,5.0,"moderate, middle of the road"
favor,none/other,5.0,conservative
favor,protestant,4.0,slightly liberal
favor,protestant,2.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
oppose,none/other,2.0,slightly liberal
favor,native american,5.0,liberal
favor,protestant,3.0,conservative
favor,catholic,5.0,extremely conservative
favor,protestant,3.0,conservative
favor,catholic,5.0,liberal
favor,catholic,4.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
oppose,protestant,4.0,liberal
favor,none/other,5.0,conservative
oppose,catholic,5.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
favor,none/other,2.0,slightly liberal
oppose,catholic,2.0,"moderate, middle of the road"
favor,none/other,4.0,extremely liberal
oppose,catholic,2.0,slightly conservative
oppose,none/other,2.0,extremely liberal
favor,protestant,4.0,"moderate, middle of the road"
,protestant,5.0,
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,none/other,4.0,"moderate, middle of the road"
oppose,none/other,,slightly liberal
favor,catholic,3.0,liberal
oppose,catholic,2.0,slightly conservative
oppose,none/other,2.0,liberal
favor,protestant,5.0,slightly conservative
oppose,none/other,1.0,extremely liberal
oppose,protestant,5.0,liberal
favor,none/other,1.0,"moderate, middle of the road"
oppose,catholic,3.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,buddhism,3.0,"moderate, middle of the road"
favor,catholic,5.0,liberal
oppose,none/other,3.0,liberal
favor,protestant,4.0,
oppose,none/other,5.0,liberal
oppose,none/other,3.0,"moderate, middle of the road"
oppose,none/other,4.0,slightly liberal
oppose,none/other,5.0,slightly liberal
favor,catholic,5.0,slightly liberal
oppose,protestant,3.0,"moderate, middle of the road"
oppose,catholic,1.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
oppose,christianity,4.0,slightly conservative
oppose,protestant,3.0,slightly liberal
favor,none/other,5.0,slightly conservative
favor,,2.0,
oppose,none/other,4.0,liberal
oppose,christianity,2.0,liberal
oppose,protestant,5.0,liberal
favor,protestant,5.0,conservative
favor,protestant,3.0,conservative
favor,none/other,3.0,liberal
oppose,christianity,4.0,"moderate, middle of the road"
oppose,none/other,1.0,liberal
oppose,protestant,5.0,slightly conservative
,protestant,5.0,conservative
oppose,catholic,2.0,"moderate, middle of the road"
favor,catholic,2.0,extremely conservative
favor,catholic,2.0,liberal
favor,none/other,2.0,extremely conservative
oppose,muslim/islam,2.0,"moderate, middle of the road"
oppose,none/other,1.0,extremely liberal
favor,catholic,1.0,liberal
oppose,none/other,1.0,slightly conservative
oppose,catholic,4.0,slightly liberal
oppose,protestant,5.0,liberal
favor,none/other,1.0,"moderate, middle of the road"
oppose,none/other,2.0,liberal
oppose,hinduism,2.0,slightly liberal
favor,none/other,1.0,liberal
oppose,protestant,3.0,slightly conservative
favor,catholic,4.0,"moderate, middle of the road"
oppose,protestant,5.0,liberal
favor,none/other,2.0,slightly conservative
oppose,none/other,3.0,liberal
favor,none/other,3.0,"moderate, middle of the road"
oppose,hinduism,3.0,slightly liberal
oppose,protestant,,conservative
favor,none/other,5.0,liberal
favor,protestant,1.0,"moderate, middle of the road"
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,catholic,1.0,slightly conservative
oppose,protestant,2.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,1.0,"moderate, middle of the road"
favor,christianity,5.0,conservative
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
favor,catholic,1.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,liberal
oppose,none/other,2.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,"moderate, middle of the road"
favor,muslim/islam,4.0,"moderate, middle of the road"
oppose,hinduism,4.0,liberal
favor,catholic,1.0,"moderate, middle of the road"
favor,none/other,3.0,slightly liberal
favor,protestant,5.0,extremely conservative
favor,christianity,5.0,conservative
oppose,protestant,5.0,slightly liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,catholic,3.0,slightly conservative
favor,none/other,5.0,"moderate, middle of the road"
favor,none/other,5.0,slightly liberal
favor,catholic,4.0,"moderate, middle of the road"
favor,none/other,,slightly conservative
favor,protestant,3.0,"moderate, middle of the road"
oppose,protestant,2.0,extremely liberal
favor,protestant,4.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly liberal
oppose,catholic,2.0,liberal
favor,protestant,3.0,slightly liberal
favor,none/other,3.0,"moderate, middle of the road"
favor,catholic,2.0,slightly conservative
favor,catholic,2.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
oppose,none/other,5.0,liberal
oppose,,,liberal
favor,catholic,2.0,slightly conservative
favor,none/other,5.0,slightly conservative
oppose,none/other,4.0,extremely liberal
oppose,none/other,,liberal
favor,none/other,3.0,slightly conservative
oppose,catholic,4.0,extremely liberal
favor,none/other,5.0,conservative
oppose,none/other,3.0,liberal
favor,catholic,5.0,extremely conservative
,none/other,5.0,slightly liberal
favor,none/other,5.0,extremely liberal
favor,catholic,5.0,slightly liberal
favor,protestant,5.0,slightly conservative
oppose,none/other,2.0,slightly liberal
favor,none/other,4.0,"moderate, middle of the road"
favor,catholic,,"moderate, middle of the road"
oppose,none/other,5.0,liberal
favor,none/other,5.0,liberal
favor,protestant,5.0,conservative
oppose,none/other,1.0,liberal
favor,catholic,,slightly liberal
favor,catholic,1.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,hinduism,3.0,liberal
oppose,catholic,5.0,slightly liberal
favor,catholic,2.0,slightly liberal
favor,none/other,5.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly liberal
favor,protestant,2.0,slightly conservative
oppose,none/other,3.0,slightly liberal
favor,jewish,4.0,extremely conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,catholic,3.0,"moderate, middle of the road"
oppose,catholic,5.0,conservative
favor,none/other,5.0,slightly conservative
favor,catholic,5.0,slightly conservative
favor,protestant,4.0,conservative
oppose,protestant,5.0,extremely conservative
favor,protestant,2.0,slightly conservative
favor,none/other,5.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,,,conservative
favor,protestant,2.0,"moderate, middle of the road"
oppose,none/other,1.0,extremely liberal
favor,protestant,5.0,slightly liberal
favor,protestant,5.0,conservative
oppose,none/other,4.0,liberal
oppose,none/other,3.0,liberal
favor,none/other,2.0,"moderate, middle of the road"
favor,jewish,5.0,"moderate, middle of the road"
favor,catholic,,"moderate, middle of the road"
oppose,protestant,5.0,conservative
favor,buddhism,2.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,none/other,5.0,slightly liberal
oppose,none/other,5.0,"moderate, middle of the road"
favor,buddhism,5.0,"moderate, middle of the road"
oppose,catholic,4.0,liberal
oppose,none/other,5.0,extremely liberal
favor,none/other,5.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly liberal
favor,protestant,4.0,slightly liberal
favor,none/other,1.0,liberal
oppose,none/other,4.0,slightly liberal
favor,protestant,4.0,conservative
favor,none/other,1.0,"moderate, middle of the road"
oppose,protestant,5.0,liberal
favor,protestant,5.0,conservative
oppose,muslim/islam,2.0,extremely conservative
oppose,catholic,3.0,"moderate, middle of the road"
oppose,none/other,2.0,liberal
oppose,protestant,1.0,slightly liberal
oppose,protestant,5.0,extremely liberal
favor,none/other,1.0,slightly liberal
favor,none/other,4.0,liberal
oppose,protestant,1.0,conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,christianity,,liberal
oppose,none/other,,slightly liberal
oppose,none/other,5.0,liberal
,none/other,5.0,liberal
oppose,none/other,5.0,"moderate, middle of the road"
favor,none/other,5.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
favor,none/other,2.0,slightly liberal
oppose,protestant,5.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly liberal
oppose,none/other,2.0,liberal
oppose,buddhism,2.0,"moderate, middle of the road"
favor,protestant,4.0,extremely liberal
oppose,protestant,2.0,"moderate, middle of the road"
oppose,none/other,,liberal
,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,extremely liberal
oppose,none/other,4.0,slightly liberal
,,,liberal
oppose,none/other,1.0,"moderate, middle of the road"
favor,none/other,5.0,conservative
favor,none/other,3.0,liberal
oppose,none/other,2.0,liberal
favor,none/other,2.0,"moderate, middle of the road"
favor,none/other,,"moderate, middle of the road"
oppose,none/other,5.0,extremely liberal
oppose,protestant,4.0,extremely liberal
oppose,none/other,1.0,liberal
oppose,protestant,5.0,slightly liberal
,protestant,,conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,extremely conservative
favor,none/other,5.0,slightly conservative
oppose,protestant,1.0,conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
favor,none/other,1.0,slightly liberal
oppose,none/other,2.0,"moderate, middle of the road"
,protestant,5.0,
favor,protestant,5.0,conservative
favor,protestant,2.0,"moderate, middle of the road"
oppose,catholic,2.0,liberal
oppose,none/other,2.0,liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
,protestant,,slightly liberal
oppose,none/other,1.0,slightly liberal
oppose,none/other,1.0,extremely liberal
favor,catholic,2.0,conservative
favor,christianity,5.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
favor,catholic,5.0,extremely conservative
favor,protestant,2.0,slightly conservative
favor,protestant,3.0,conservative
favor,none/other,5.0,liberal
favor,catholic,3.0,"moderate, middle of the road"
oppose,protestant,5.0,liberal
oppose,none/other,3.0,extremely liberal
favor,protestant,5.0,slightly conservative
oppose,catholic,,conservative
favor,none/other,5.0,"moderate, middle of the road"
oppose,catholic,2.0,"moderate, middle of the road"
favor,protestant,5.0,slightly conservative
favor,protestant,5.0,conservative
favor,christianity,4.0,"moderate, middle of the road"
oppose,catholic,5.0,liberal
oppose,catholic,2.0,slightly liberal
oppose,protestant,5.0,conservative
favor,christianity,5.0,slightly conservative
favor,none/other,3.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
favor,christianity,2.0,"moderate, middle of the road"
oppose,none/other,4.0,slightly liberal
oppose,catholic,1.0,"moderate, middle of the road"
favor,protestant,3.0,extremely conservative
favor,jewish,,slightly conservative
favor,protestant,5.0,slightly liberal
oppose,none/other,5.0,slightly liberal
favor,protestant,4.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
favor,none/other,1.0,"moderate, middle of the road"
favor,christianity,5.0,"moderate, middle of the road"
favor,,,"moderate, middle of the road"
favor,protestant,,"moderate, middle of the road"
oppose,protestant,5.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,buddhism,2.0,extremely conservative
oppose,protestant,4.0,slightly liberal
oppose,protestant,5.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
favor,catholic,3.0,conservative
oppose,protestant,3.0,conservative
oppose,none/other,2.0,liberal
oppose,none/other,5.0,slightly conservative
favor,none/other,1.0,extremely liberal
favor,catholic,4.0,liberal
oppose,catholic,4.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly liberal
oppose,none/other,5.0,liberal
oppose,none/other,2.0,slightly liberal
favor,jewish,4.0,conservative
oppose,none/other,3.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
oppose,catholic,4.0,extremely conservative
favor,catholic,4.0,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
favor,catholic,2.0,slightly liberal
favor,none/other,3.0,"moderate, middle of the road"
favor,protestant,,"moderate, middle of the road"
oppose,christianity,2.0,slightly conservative
oppose,none/other,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,3.0,conservative
favor,protestant,5.0,liberal
oppose,jewish,5.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,none/other,,slightly conservative
favor,none/other,1.0,"moderate, middle of the road"
favor,catholic,,conservative
oppose,none/other,4.0,slightly liberal
favor,none/other,1.0,extremely conservative
oppose,catholic,5.0,liberal
oppose,catholic,5.0,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
favor,none/other,,"moderate, middle of the road"
favor,catholic,5.0,slightly liberal
oppose,none/other,3.0,slightly liberal
oppose,protestant,4.0,liberal
favor,catholic,,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
favor,protestant,5.0,extremely conservative
oppose,buddhism,3.0,liberal
oppose,jewish,2.0,liberal
favor,catholic,5.0,"moderate, middle of the road"
oppose,protestant,5.0,conservative
favor,protestant,5.0,conservative
favor,protestant,5.0,liberal
oppose,protestant,5.0,conservative
favor,none/other,5.0,slightly conservative
oppose,protestant,5.0,liberal
oppose,none/other,1.0,liberal
favor,none/other,2.0,"moderate, middle of the road"
oppose,none/other,1.0,"moderate, middle of the road"
favor,catholic,4.0,"moderate, middle of the road"
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
oppose,protestant,3.0,extremely liberal
favor,none/other,5.0,liberal
favor,catholic,2.0,"moderate, middle of the road"
oppose,protestant,,liberal
oppose,buddhism,3.0,liberal
favor,protestant,5.0,extremely conservative
oppose,none/other,,liberal
,catholic,5.0,liberal
favor,none/other,3.0,"moderate, middle of the road"
oppose,catholic,4.0,slightly conservative
favor,none/other,5.0,"moderate, middle of the road"
favor,none/other,5.0,extremely liberal
favor,protestant,5.0,slightly conservative
favor,protestant,2.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,protestant,5.0,
favor,none/other,5.0,conservative
favor,catholic,5.0,conservative
oppose,none/other,1.0,extremely liberal
favor,none/other,,extremely conservative
favor,none/other,4.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,2.0,slightly liberal
oppose,protestant,3.0,conservative
favor,none/other,,"moderate, middle of the road"
oppose,catholic,3.0,"moderate, middle of the road"
favor,catholic,1.0,"moderate, middle of the road"
favor,none/other,5.0,conservative
oppose,none/other,3.0,slightly conservative
favor,catholic,5.0,slightly liberal
favor,none/other,3.0,conservative
oppose,protestant,5.0,conservative
favor,protestant,5.0,conservative
oppose,hinduism,5.0,slightly conservative
favor,protestant,,extremely conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,none/other,2.0,liberal
favor,protestant,5.0,conservative
favor,none/other,2.0,slightly liberal
oppose,none/other,2.0,slightly liberal
favor,protestant,5.0,liberal
favor,protestant,3.0,conservative
favor,none/other,4.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
oppose,none/other,5.0,extremely liberal
oppose,christianity,2.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,protestant,1.0,"moderate, middle of the road"
oppose,buddhism,3.0,"moderate, middle of the road"
favor,none/other,,liberal
favor,catholic,5.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,catholic,2.0,conservative
favor,none/other,5.0,slightly conservative
favor,catholic,1.0,"moderate, middle of the road"
oppose,catholic,1.0,slightly conservative
favor,none/other,4.0,slightly conservative
favor,none/other,5.0,slightly liberal
favor,none/other,3.0,slightly liberal
favor,none/other,3.0,"moderate, middle of the road"
favor,none/other,4.0,"moderate, middle of the road"
oppose,protestant,5.0,conservative
oppose,protestant,3.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,5.0,extremely conservative
favor,hinduism,,"moderate, middle of the road"
oppose,protestant,2.0,slightly conservative
favor,none/other,4.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,3.0,"moderate, middle of the road"
,,,"moderate, middle of the road"
favor,protestant,4.0,conservative
oppose,buddhism,3.0,slightly liberal
favor,protestant,5.0,conservative
favor,christianity,3.0,liberal
favor,protestant,5.0,liberal
oppose,protestant,,liberal
favor,protestant,4.0,extremely conservative
favor,catholic,1.0,conservative
oppose,protestant,3.0,slightly liberal
oppose,christianity,2.0,"moderate, middle of the road"
favor,christianity,3.0,extremely liberal
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,5.0,slightly conservative
oppose,none/other,4.0,extremely liberal
oppose,protestant,5.0,liberal
oppose,none/other,4.0,extremely liberal
favor,none/other,5.0,"moderate, middle of the road"
oppose,none/other,5.0,liberal
oppose,buddhism,,extremely liberal
favor,protestant,5.0,slightly conservative
favor,catholic,3.0,conservative
oppose,protestant,3.0,slightly conservative
favor,none/other,3.0,liberal
favor,catholic,4.0,conservative
favor,,,extremely conservative
oppose,jewish,5.0,slightly liberal
favor,none/other,2.0,"moderate, middle of the road"
oppose,none/other,2.0,"moderate, middle of the road"
favor,none/other,5.0,conservative
oppose,catholic,5.0,slightly liberal
oppose,protestant,4.0,"moderate, middle of the road"
oppose,none/other,3.0,liberal
favor,jewish,3.0,liberal
favor,none/other,5.0,liberal
oppose,protestant,4.0,slightly conservative
oppose,protestant,3.0,liberal
favor,protestant,5.0,slightly liberal
favor,none/other,2.0,slightly liberal
favor,protestant,5.0,conservative
oppose,none/other,5.0,"moderate, middle of the road"
oppose,catholic,2.0,"moderate, middle of the road"
favor,none/other,5.0,liberal
favor,protestant,3.0,"moderate, middle of the road"
favor,protestant,4.0,slightly conservative
oppose,catholic,4.0,conservative
favor,catholic,5.0,"moderate, middle of the road"
favor,protestant,4.0,conservative
favor,christianity,4.0,slightly conservative
oppose,jewish,3.0,"moderate, middle of the road"
favor,catholic,2.0,"moderate, middle of the road"
favor,protestant,2.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,,conservative
oppose,none/other,2.0,extremely liberal
favor,none/other,5.0,"moderate, middle of the road"
oppose,catholic,1.0,extremely liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,"moderate, middle of the road"
favor,catholic,4.0,slightly conservative
oppose,none/other,,"moderate, middle of the road"
favor,protestant,4.0,slightly liberal
oppose,protestant,4.0,liberal
oppose,none/other,1.0,extremely liberal
favor,catholic,,conservative
favor,jewish,5.0,"moderate, middle of the road"
favor,none/other,5.0,"moderate, middle of the road"
favor,protestant,3.0,
favor,catholic,1.0,slightly conservative
favor,protestant,2.0,slightly conservative
oppose,none/other,1.0,"moderate, middle of the road"
oppose,catholic,1.0,extremely liberal
favor,protestant,4.0,slightly conservative
favor,none/other,2.0,slightly liberal
favor,none/other,,"moderate, middle of the road"
oppose,none/other,5.0,"moderate, middle of the road"
favor,jewish,5.0,conservative
favor,none/other,1.0,liberal
favor,protestant,5.0,extremely conservative
oppose,jewish,3.0,liberal
oppose,protestant,3.0,conservative
favor,catholic,5.0,slightly liberal
oppose,protestant,2.0,slightly conservative
favor,protestant,4.0,"moderate, middle of the road"
favor,none/other,1.0,"moderate, middle of the road"
oppose,catholic,2.0,slightly liberal
favor,protestant,2.0,conservative
oppose,protestant,2.0,"moderate, middle of the road"
favor,none/other,5.0,liberal
oppose,protestant,5.0,slightly liberal
oppose,none/other,1.0,extremely liberal
oppose,catholic,2.0,
favor,,,"moderate, middle of the road"
oppose,none/other,4.0,extremely liberal
oppose,none/other,5.0,slightly liberal
oppose,none/other,4.0,"moderate, middle of the road"
favor,jewish,5.0,slightly conservative
favor,hinduism,2.0,liberal
favor,catholic,3.0,extremely liberal
oppose,none/other,3.0,"moderate, middle of the road"
oppose,protestant,3.0,conservative
oppose,protestant,5.0,slightly liberal
favor,catholic,5.0,extremely conservative
favor,protestant,5.0,"moderate, middle of the road"
oppose,protestant,3.0,extremely conservative
favor,none/other,,liberal
favor,buddhism,2.0,"moderate, middle of the road"
favor,catholic,,"moderate, middle of the road"
oppose,christianity,3.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
favor,protestant,,conservative
oppose,christianity,4.0,"moderate, middle of the road"
oppose,catholic,3.0,liberal
,,2.0,liberal
favor,none/other,5.0,extremely conservative
favor,none/other,5.0,slightly conservative
oppose,protestant,5.0,extremely liberal
,none/other,2.0,slightly liberal
oppose,none/other,3.0,liberal
favor,protestant,1.0,slightly conservative
favor,protestant,2.0,slightly liberal
oppose,catholic,1.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,christianity,4.0,conservative
favor,protestant,4.0,extremely liberal
oppose,none/other,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
oppose,none/other,4.0,slightly liberal
favor,catholic,4.0,conservative
favor,catholic,5.0,conservative
favor,protestant,5.0,conservative
,muslim/islam,,
favor,catholic,4.0,slightly conservative
oppose,christianity,,"moderate, middle of the road"
favor,christianity,1.0,conservative
favor,protestant,,"moderate, middle of the road"
favor,muslim/islam,2.0,
favor,protestant,5.0,slightly conservative
favor,catholic,4.0,slightly conservative
oppose,none/other,5.0,conservative
favor,protestant,4.0,conservative
favor,protestant,4.0,slightly conservative
favor,protestant,5.0,slightly liberal
favor,protestant,1.0,liberal
favor,none/other,5.0,conservative
favor,catholic,5.0,conservative
favor,none/other,2.0,slightly conservative
favor,protestant,3.0,slightly liberal
favor,catholic,4.0,slightly conservative
favor,,,"moderate, middle of the road"
favor,protestant,,liberal
favor,none/other,1.0,slightly liberal
favor,none/other,1.0,liberal
oppose,catholic,5.0,"moderate, middle of the road"
oppose,protestant,5.0,conservative
favor,catholic,5.0,conservative
favor,catholic,4.0,slightly conservative
oppose,protestant,1.0,"moderate, middle of the road"
favor,none/other,3.0,liberal
favor,protestant,5.0,conservative
favor,protestant,2.0,conservative
oppose,,,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,5.0,conservative
favor,protestant,5.0,extremely conservative
oppose,none/other,4.0,conservative
favor,none/other,4.0,conservative
favor,none/other,3.0,"moderate, middle of the road"
oppose,protestant,5.0,extremely conservative
oppose,protestant,,conservative
oppose,catholic,5.0,liberal
favor,none/other,3.0,extremely liberal
oppose,catholic,5.0,liberal
,none/other,5.0,slightly liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,2.0,extremely liberal
favor,protestant,5.0,conservative
favor,protestant,5.0,conservative
oppose,protestant,5.0,conservative
favor,catholic,5.0,slightly conservative
favor,jewish,5.0,liberal
oppose,,,liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,5.0,slightly liberal
oppose,hinduism,2.0,liberal
favor,protestant,5.0,conservative
favor,protestant,5.0,extremely conservative
oppose,christianity,2.0,slightly liberal
oppose,none/other,2.0,"moderate, middle of the road"
oppose,protestant,5.0,conservative
favor,,4.0,
oppose,catholic,,conservative
oppose,protestant,5.0,"moderate, middle of the road"
favor,protestant,,conservative
favor,protestant,5.0,slightly conservative
favor,protestant,1.0,extremely conservative
favor,protestant,5.0,"moderate, middle of the road"
favor,none/other,5.0,extremely liberal
favor,none/other,,
oppose,christianity,,slightly conservative
oppose,none/other,5.0,liberal
oppose,catholic,5.0,conservative
favor,none/other,3.0,liberal
favor,catholic,,liberal
oppose,buddhism,3.0,slightly liberal
favor,none/other,3.0,conservative
oppose,protestant,2.0,"moderate, middle of the road"
oppose,none/other,,liberal
oppose,catholic,5.0,"moderate, middle of the road"
oppose,none/other,4.0,slightly liberal
favor,protestant,3.0,"moderate, middle of the road"
oppose,none/other,5.0,slightly liberal
oppose,none/other,5.0,extremely liberal
favor,protestant,5.0,"moderate, middle of the road"
favor,protestant,4.0,slightly liberal
,protestant,5.0,"moderate, middle of the road"
favor,christianity,4.0,"moderate, middle of the road"
